Variable,Description,Datatype,Role
zn,proportion of residential land zoned for large lots (over 25000 square feet) ,numeric,predictor 
indus,proportion of non-retail business acres per suburb ,numeric,predictor 
chas,a dummy var. for whether the suburb borders the Charles River (1) or not (0) ,binary,predictor 
nox,nitrogen oxides concentration (parts per 10 million) ,numeric,predictor 
rm,average number of rooms per dwelling ,numeric,predictor 
age,proportion of owner-occupied units built prior to 1940 ,numeric,predictor 
dis,weighted mean of distances to five Boston employment centers ,numeric,predictor 
rad,index of accessibility to radial highways ,integer,predictor 
tax,"full-value property-tax rate per $10,000 ",integer,predictor 
ptratio,pupil-teacher ratio by town ,numeric,predictor 
black,1000(Bk - 0.63)2 where Bk is the proportion of blacks by town ,numeric,predictor 
lstat,lower status of the population (percent) ,numeric,predictor 
medv,median value of owner-occupied homes in $1000s ,numeric,predictor 
target,whether the crime rate is above the median crime rate (1) or not (0) ,binary,response
